Track,Album Name,Artist,Release Date,Spotify Streams,TrackNameLength
Por el Resto de Tu Vida,Por el Resto de Tu Vida,Christian Nodal,1/27/2023,"19,99,53,495",18
Earth,Earth,Lil Dicky,4/18/2019,"21,11,58,013",5
23 Preguntas,23 Preguntas - Single,Anuel AA,8/23/2021,"15,42,50,706",11
Souk,Souk,Samara,5/6/2024,"14,77,559",4
Mi Gata,Mi Gata - Single,Standly,11/11/2021,"14,17,47,648",6
Chillax,Visionary,Farruko,10/23/2015,"36,62,68,077",7
ROZE | DJ TAO Turreo Sessions #22,ROZE | DJ TAO Turreo Sessions #22,DJ Tao,11/23/2023,"6,41,43,264",25
Bilmem Mi?,Bilmem Mi?,Sefo,7/9/2021,"14,67,09,792",8
Tattoo - Remix with Camilo,Tattoo (Remix),Rauw Alejandro,7/9/2020,"62,38,75,921",21
Ready For Love,BORN PINK,BLACKPINK,9/16/2022,"11,52,37,552",12
Tombstone,Tombstone,Rod Wave,3/24/2021,"13,79,24,605",9
From the Start,From the Start,Good Kid,11/10/2023,"5,50,80,421",12
Pyramide,Pyramide,Werenoi,2/15/2024,"3,80,79,739",8
ýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýý,Galibri & Mavik,5/19/2021,"2,51,49,668",0
Sobran Motivos,Sobran Motivos - Single,Conjunto Rienda Real,2/10/2023,"14,57,07,423",13
Tacata (Remix),Tacata (Remix),Tiagz,12/22/2023,"10,06,34,965",11
Million Reasons,Million Reasons,Lady Gaga,10/6/2016,"82,54,65,124",14
Can't Have Mine,Can't Have Mine - Single,Dylan Scott,2/18/2022,"9,85,38,888",12
supï¿½ï,supï¿½ï,ýýýýýýýýýý,8/11/2023,"6,36,42,484",3
What Else Can I Do?,Encanto (Original Motion Picture Soundtrack),Diane Guerrero,11/19/2021,"18,66,07,065",14
YA NO TE EXTRAï¿½,NASTY SINGLES,NATTI NATASHA,12/7/2023,"91,29,729",11
Yankee 150,Yankee 150 - Single,Yandel,6/16/2023,"12,68,79,048",9
Yacht Club (feat. Juice WRLD),Nuthin' 2 Prove,Lil Yachty,10/19/2018,"29,64,69,547",22
The One That Got Away,Teenage Dream,Katy Perry,1/1/2010,"92,13,51,898",17
La Romana,X 100PRE,Bad Bunny,12/23/2018,"41,08,97,040",8
Soltera - Remix,Soltera (Remix),Lunay,5/10/2019,"96,07,53,774",12
Fine Day Anthem,Fine Day Anthem,Skrillex,7/7/2023,"5,04,71,076",13
Aking Pahinga - Sped Up Version,Aking Pahinga (feat. I-ghie) [Sped Up Version] - Single,Dro Perez,12/15/2022,"46,71,066",25
Big Jet Plane,Big Jet Plane,Restricted,12/9/2022,"10,44,93,081",11
The American Dream Is Killing Me,The American Dream Is Killing Me,Green Day,10/24/2023,"1,53,36,055",27
Sarah's Place (feat. Noah Kahan),Sarah's Place (feat. Noah Kahan),Zach Bryan,9/21/2023,"12,52,67,352",24
Badass (From "Leo"),Badass (From "Leo"),Anirudh Ravichander,9/28/2023,"8,08,86,056",13
Fuga Pa Cali 2,La Clase,Grupo Los de la O,11/12/2021,"27,45,59,147",11
Pano,Pano,Zack Tabudlo,12/6/2021,"26,12,75,106",4
All The Parties (feat. Chief Keef),For All The Dogs,Drake,10/6/2023,"4,85,56,312",26
When I Was Your Man,Unorthodox Jukebox,Bruno Mars,12/7/2012,"2,10,60,40,891",15
Cruise,Here's To The Good Times,Florida Georgia Line,1/1/2012,"45,57,80,340",6
Blood Sweat & Tears,You Never Walk Alone,BTS,2/13/2017,"56,33,66,391",15
BAND4BAND,BAND4BAND - Single,Central Cee,5/23/2024,"8,61,44,467",9
All We Got (feat. KIDDO),All We Got (feat. KIDDO),Robin Schulz,10/16/2020,"26,74,59,903",17
Sinceramente,E POI SIAMO FINITI NEL VORTICE,Annalisa,9/29/2023,"6,79,67,157",12
DOLA,DOLA - Single,ANGGA DERMAWAN,5/21/2024,"49,06,976",4
Lie,Perception,NF,10/6/2017,"58,25,49,538",3
Love Shot,LOVE SHOTï¿½ï¿½ï¿½ The 5th Album Rep,EXO,12/13/2018,"35,86,20,184",8
Have You Ever Seen The Rain,Chronicle: The 20 Greatest Hits (Remastered 2023 / Hi Res),Creedence Clearwater Revival,6/30/2023,,22
Down In Atlanta,Down In Atlanta - Single,Pharrell Williams,11/18/2022,"9,24,24,493",13
Experimento,Experimento - Single,Myke Towers,9/23/2021,"22,80,03,109",11
Only,Only,Nicki Minaj,10/28/2014,"55,77,75,679",4
Ginseng Strip 2002,Lavender - Single,Yung Lean,1/1/2013,"27,69,92,369",16
Good To Be,Good To Be,Mark Ambor,10/17/2023,"8,16,32,951",8
My House,My House,Flo Rida,3/17/2015,"1,06,99,60,318",7
Sun to Me,American Heartbreak,Zach Bryan,5/20/2022,"30,71,25,680",7
Malicious Intentions,Malicious Intentions - Single,Pozer,4/19/2024,"90,34,106",19
Hours In Silence,Her Loss,Drake,11/4/2022,"14,76,88,885",14
Title,Title,Meghan Trainor,9/9/2014,"20,53,12,051",5
ID,ID - Single,Young Miko,6/2/2023,"11,86,89,822",2
In My Head,In My Head,Juice WRLD,10/28/2022,"13,68,78,823",8
Bori,Bori (feat. Lenier),6ix9ine,3/31/2023,"1,58,56,627",4
El Perdedor,El Perdedor,Maluma,12/19/2016,"7,83,995",10
Baller,Baller,Shubh,9/9/2022,"26,19,75,922",6
Remember That Night?,Remember That Night?,Sara Kays,11/6/2020,"36,35,10,259",17
Hummingbird (Metro Boomin & James Blake),METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,"8,85,24,099",32
Tigini (Remix),Tigini (Remix) - Single,Kikimoteleba,5/20/2022,"9,79,02,676",11
"ýý Isso Bebýý, Týý Certa!","ýý Isso Bebýý, Týý Certa!",Mc IG,3/20/2024,"3,72,18,252",13
Sobredosis (feat. Ozuna),Golden,Romeo Santos,7/21/2017,"43,30,74,753",19
Bound 2,Yeezus,Kanye West,1/1/2013,"94,85,62,412",6
Proteï¿½ï¿½ï¿½ï¿½o,EP Meu Sonho - Pt. 2,Tarcï¿½ï¿½sio do Acor,7/2/2021,"10,27,03,448",6
Piï¿½ï¿½o de Vida L,Piï¿½ï¿½o de Vida L,Japï¿½ï¿½,4/27/2023,"3,65,93,527",10
COULD BE WRONG,COULD BE WRONG,LOSTBOYJAY,12/2/2022,"5,66,45,454",12
Night Away (Dance) (feat. Tion Wayne),Night Away (Dance) (feat. Tion Wayne),A1 x J1,3/3/2022,"14,88,55,365",27
Empire State Of Mind,The Blueprint 3,JAY-Z,9/8/2009,"1,02,16,47,566",17
Paradise - Radio Edit,NRJ Music Awards 2012,Coldplay,12/26/2011,"1,28,72,92,679",17
All Eyes On You (feat. Chris Brown & Nicki Minaj),All Eyes On You (feat. Chris Brown & Nicki Minaj),Meek Mill,6/27/2015,"36,99,47,896",36
Starboy - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,"62,31,986",11
Bubalu,Bubalu,Becky G,11/6/2018,"39,23,08,500",6
ESCAPE PLAN,ESCAPE PLAN / MAFIA - Single,Travis Scott,11/5/2021,"20,08,95,335",10
TiK ToK,TiK ToK,Kesha,8/7/2009,"1,20,49,14,998",6
"The Banjo Beat, Pt. 1","The Banjo Beat, Pt. 1",Ricky Desktop,8/21/2020,"3,40,96,694",15
Sweet Venom,ORANGE BLOOD,ENHYPEN,11/17/2023,"8,88,14,008",10
I KNOW ?,I KNOW ? (Official Music Video),Travis Scott,1/23/2024,"53,12,92,995",5
Feel This Moment,Greatest Hits,Pitbull,1/1/2009,"68,72,12,492",14
Ocean Drive,Ocean Drive,Duke Dumont,7/31/2015,"62,42,62,344",10
Love Story,Love Story,Disco Lines,9/22/2020,"1,85,66,967",9
Feel Special,Feel Special,TWICE,9/23/2019,"36,13,82,812",11
Me Porto Bonito - Remix,Me Porto Bonito (Remix),ELITE Djs,10/20/2022,,18
Goin Baby,Baby On Baby,DaBaby,3/1/2019,"22,52,60,644",8
Stay With Me,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",Calvin Harris,7/15/2022,"14,29,27,322",10
Famous Friends,Famous Friends,Chris Young,11/20/2020,"17,77,34,775",13
To the Bone,Flying Solo,Pamungkas,6/14/2019,"44,26,14,126",9
Turn Me On (feat. Vula),Turn Me On (feat. Vula),Riton,9/13/2019,"39,92,76,193",16
Alkool,Alkool,Melinda Ademi,4/15/2024,"17,61,843",6
Come Through (feat. Chris Brown),Come Through (feat. Chris Brown),H.E.R.,4/23/2021,"17,29,86,367",25
Mi Niï¿½,Mi Niï¿½,Wisin,9/23/2020,"40,09,85,699",4
Pretty Girls,Pretty Girls,Frenna,3/14/2024,"2,84,52,972",11
In This Darkness,In This Darkness - Single,Clara La San,1/29/2023,"13,89,87,928",14
Gangsta's Paradise (feat. L.V.),Get Ur Freak On - R&B Anthems,Coolio,11/16/2012,"1,66,66,99,743",22
Mama (with Skilla Baby & Tay B),Mama (with Skilla Baby & Tay B),Rob49,8/4/2023,"1,58,85,603",22
I'm A Star - From "Wish",I'm A Star (From "Wish"),Wish - Cast,11/8/2023,"1,50,85,389",15
ýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,ýýýýýýýýýýýýýýýýýý,4/28/2023,"49,43,057",0
Sundress,Sundress,A$AP Rocky,11/20/2018,"59,59,30,584",8
But I Got A Beer In My Hand,But I Got A Beer In My Hand,Luke Bryan,5/5/2023,"3,64,75,819",20
No Friends In The Industry,Certified Lover Boy,Drake,9/3/2021,"21,90,08,713",22
Lahore Brand,Lahore Brand - Single,Mazhar Rahi,5/1/2022,"49,081",11
Clouded,Fuck The World,Brent Faiyaz,2/7/2020,"55,61,76,640",7
ýýýýýý,ýýýýýý - Single,YOASOBI,10/1/2022,"14,01,94,014",0
Mua!,Mua!,Barracca Republic,1/31/2021,"3,739",3
Day 'N' Nite (nightmare),Day 'N' Nite,Kid Cudi,1/1/2009,"83,69,86,096",17
El Gavilï¿½,El Gavilï¿½ï¿½n - Si,Luis R Conriquez,10/21/2022,"35,04,40,369",7
Shootout,Shootout,Izzamuzzic,6/29/2022,"13,03,56,067",8
La kiffance,La kiffance,Naps,2/26/2021,"22,41,63,089",10
Tak Ingin Usai,Tak Ingin Usai,Keisya Levronka,5/13/2022,"26,57,67,551",12
Gimme Love,Gimme Love (Channel Tres Remix),Joji,4/10/2020,"37,95,18,360",9
Wet (She Got Thatï¿½ï,Wet,YFN Lucci,2/14/2020,"9,32,29,994",13
Body,Body,Russ Millions,3/25/2021,"13,93,77,440",4
VOID,VOID,Melanie Martinez,3/29/2023,"12,13,86,649",4
Lose It,Lose It,Through Fire,2/14/2023,"3,01,362",6
Mercury: Retrograde,Hexada,Ghostemane,9/5/2017,"33,31,41,510",17
"Love You, Miss You, Mean It","Love You, Miss You, Mean It",Luke Bryan,4/5/2024,"89,43,283",20
Last Night Lonely,Last Night Lonely,Jon Pardi,2/17/2022,"13,47,25,621",15
MONEY ON THE DASH - SPED UP,MONEY ON THE DASH,Elley Duhï¿,1/20/2023,"17,91,76,296",20
breathin,Sweetener,Ariana Grande,8/17/2018,"63,36,31,183",8
Every Night,Volcano,Jungle,8/11/2023,"55,03,365",10
Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),Gorillaz,6/22/2022,"9,81,08,741",27
Itï¿½ï¿½ï¿½s a beautif,Itï¿½ï¿½ï¿½s a beautif,Trinix,12/18/2022,"4,91,55,460",11
i'm so tired...,i'm so tired...,Lauv,1/24/2019,"88,59,86,482",9
Gata Only (Remix),Gata Only (Remix),FloyyMenor,6/7/2024,"38,70,862",13
redrum,american dream,21 Savage,1/12/2024,"42,82,33,003",6
Smoke Gets in Your Eyes,Music Legends The Platters : The Legendary Band of R&B and Soul Music,The Platters,4/12/2024,"10,67,82,384",19
so american,GUTS (spilled),Olivia Rodrigo,3/22/2024,"7,69,17,797",10
Bus 11 - John Falke Remix,Uyku EP (Remixes),Colouour,1/27/2023,"9,897",19
Love Galore,Love Galore,SZA,4/27/2017,"81,70,54,014",10
Takeaway,World Wide Joy...Takeaway,The Chainsmokers,7/24/2019,"63,08,75,899",8
Needed Me,ANTI (Deluxe),Rihanna,1/28/2016,"1,48,35,72,312",8
NUMB,?,XXXTENTACION,3/16/2018,"51,01,36,819",4
Halo,I AM...SASHA FIERCE - Platinum Edition,Beyoncï¿,1/1/2008,"1,55,63,26,643",4
Aman Gï¿½ï¿½zel Yavaï¿½ï¿,Aman Gï¿½ï¿½zel Yavaï¿½ï¿,Halodayï¿,6/23/2023,"11,07,59,507",12
"""ýýýýýý ýýýýýýýýýý ""ýýýýýýýýýýýý ýýýý ýýýýýýýýýýýý","""ýýýýýý ýýýýýýýýýý ""ýýýýýýýýýýýý ýýýý ýýýýýýýýýýýý - Single",Myriam Fares,3/10/2022,"73,83,901",0
Body (feat. Cash Cobain),Body (feat. Cash Cobain),A Boogie Wit da Hoodie,5/16/2024,"57,58,887",18
Aquel Nap ZzZz,VICE VERSA,Rauw Alejandro,6/25/2021,"23,12,98,627",12
Talk My Shit,Mr Beat The Road,BossMan Dlow,3/15/2024,"2,48,34,118",10
Besos En Guerra,Besos En Guerra,Morat,11/3/2017,"58,43,57,975",13
Tucson Too Late,Bluebird Days,Jordan Davis,2/17/2023,"6,03,55,607",13
SWIPE,SWIPE - Single,ALYPH,10/21/2022,"1,23,83,314",5
The Scientist,The Scientist,Coldplay,8/5/2002,"1,90,34,13,912",12
"DANï¿½ï¿½ARINA (feat. Nicky Jam, MC Pedrinho) - R",Cullinan,PEDRO SAMPAIO,5/13/2022,"10,04,91,006",31
Butter Pecan,Butter Pecan,YNW Melly,8/24/2018,"10,10,94,621",11
Back to the Beat,Back to the Beat,DJ TikTok,1/28/2020,"5,39,984",13
Picky,Picky,Banda Coraleï¿½,12/9/2016,"5,75,093",5
DEUTSCHLAND,DEUTSCHLAND,Rammstein,3/28/2019,"46,00,08,347",11
Quï¿½ï¿½ Onda Per,Quï¿½ï¿½ Onda Per,Gerardo Coronel,2/17/2023,"5,82,84,482",9
Hot In It,Hot In It - Single,Tiï¿½ï¿,6/30/2022,"22,02,50,463",7
Fazendinha,Bita e os Animais,Mundo Bita,10/7/2014,"6,50,98,757",10
SHOOTING STAR,SHOOTING STAR,XG,1/25/2023,"12,59,43,110",12
Te Felicito,Te Felicito,Gerardo Coronel,10/7/2022,"13,71,13,129",10
Ruper Jadu,Ruper Jadu,Alvee,5/3/2022,"5,51,388",9
Uff Mi Amor,Uff Mi Amor,Lauty Gram,12/27/2022,"1,86,11,163",9
Kill Bill,Kill Bill (Official Video),SZA,1/10/2023,"1,87,37,46,537",8
ALMAS GEMELAS,ALMAS GEMELAS - Single,Myke Towers,7/22/2021,"24,71,33,830",12
Saturno,Prometo,Pablo Alborï¿½,6/1/2017,"49,50,63,827",7
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,4/25/2022,"18,53,16,307",33
vice city,vice city,XXXTENTACION,1/28/2022,"11,13,69,377",8
Your Heart Or Mine,Mr. Saturday Night,Jon Pardi,9/2/2022,"12,95,31,779",15
Alors on danse,Clubland Vol. 5,Stromae,1/1/2009,"67,63,25,288",12
LosT,LosT - Single,Bring Me The Horizon,5/4/2023,"9,69,22,687",4
Check It Out,Check It Out,Parmish Verma,6/27/2023,"9,92,37,146",10
SOLO,SOLO,JENNIE,11/12/2018,"62,22,29,689",4
Good For You,Good For You,Selena Gomez,6/22/2015,"70,15,52,110",10
Sigues Con El,Sigues Con El,Dï¿½ï¿½melo ,12/13/2019,"58,25,95,821",11
Looking For The Hoes (Ainï¿½ï¿½ï¿½t My ,Hood Hottest Princess,Sexyy Red,6/9/2023,"6,89,65,021",23
Jefe,Jefe,Ninho,12/3/2021,"15,41,20,297",4
Tip Toe (feat. French Montana),Nu King,Jason Derulo,2/16/2024,,23
Vamp Anthem,Whole Lotta Red,Playboi Carti,12/25/2020,"29,12,44,404",10
Small Town Boy,Small Town Boy,Dustin Lynch,2/17/2017,"33,39,82,743",12
do re mi,do re mi,blackbear,3/18/2017,"61,96,55,619",6
"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring,6/12/2008,"96,88,10,827",18
Plug Walk,Plug Walk,Rich The Kid,2/8/2018,"65,34,90,628",8
RON COLA,SATURNO,Rauw Alejandro,11/11/2022,"14,35,42,362",7
Hide Away,Hide Away,Daya,4/22/2015,"49,34,44,344",8
Unsteady,The Reason EP,X Ambassadors,1/28/2014,"66,39,39,688",8
ýýýýýýýý,ýýýýýýýý,Jah Khalib,12/2/2022,"1,45,66,339",0
Fall in Love with You.,Fall in Love with You. - Single,Montell Fish,11/5/2021,"34,28,72,540",17
Chamber Of Reflection,Salad Days,Mac DeMarco,3/28/2014,"72,81,40,057",19
Watermelon Moonshine,Songs From Bell Bottom Country,Lainey Wilson,8/12/2022,"12,96,35,815",19
Tighten Up,Brothers (Deluxe Remastered Anniversary Edition),The Black Keys,12/18/2020,"24,88,57,241",9
Me Porto Bonito,Me Porto Bonito,Renzo Pianciola,9/9/2022,"1,79,70,39,538",13
CAN'T SAY,ASTROWORLD,Travis Scott,8/3/2018,"60,12,02,311",7
Think I'm In Love With You,Think Iï¿½ï¿½ï¿½m In Love Wi,Chris Stapleton,9/8/2023,"7,88,55,298",20
Pursuit Of Happiness (nightmare),Man On the Moon: The End of Day,Kid Cudi,1/1/2009,"78,93,00,127",27
Sprinter,25th Birthda,Central ce,6/6/2023,"67,53,75,297",8
Do What I Want,The Perfect LUV Tape,Lil Uzi Vert,7/31/2016,"25,57,76,823",11
There I Go (feat. J. Cole & Mike WiLL Made-It),There I Go (feat. J. Cole & Mike WiLL Made-It),Gucci Mane,8/25/2023,"1,96,90,183",31
Mercy,I Love R&B,Kanye West,1/1/2012,"39,60,15,053",5
Tum Se (From "Teri Baaton Mein Aisa Uljha Jiya"),Tum Se (From "Teri Baaton Mein Aisa Uljha Jiya"),Sachin-Jigar,2/2/2024,"4,46,19,695",36
Hero,Hero,Alan Walker,5/4/2023,"7,63,23,780",4
Param Pom,Param Pom,TAIRA,6/17/2022,"20,855",8
JAGERMEISTER,Jagermeister (feat. 2woBunnies) - Single,Ice Beats Slide,12/31/2022,"84,34,856",12
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,5/25/2018,"37,06,93,139",35
Bï¿½ï¿½ï¿½n ï¿½ï¿½ï¿½ï¿½ï¿½,Bï¿½ï¿½ï¿½n ï¿½ï¿½ï¿½ï¿½ï¿½i (feat. ,Karik,10/4/2023,"1,92,47,151",2
Drifting,Drifting,Tiï¿½ï¿,6/22/2023,"10,19,03,591",8
Over the Rainbow,Alone In Iz World,Israel Kamakawiwo'ole,9/25/2001,"39,91,45,178",14
Losin Control,Losin Control,Russ,7/28/2016,"70,34,11,626",12
Onana,Onana - Single,Jey One,5/8/2023,"5,72,39,767",5
Daechwita,D-2,Agust D,5/22/2020,"31,35,07,248",9
Como Si No Importara,Como Si No Importara,Emilia,7/13/2021,"23,29,85,667",17
Supernova,Supernova,SAIKO,4/19/2023,"12,54,51,295",9
Rags2Riches (feat. ATR Son Son),Pray 4 Love,Rod Wave,4/3/2020,"16,45,42,767",24
Fast Car,Fast Car,Jonas Blue,12/4/2015,"1,14,58,82,592",7
Quickie,Quickie,Moneybagg Yo,12/8/2022,"5,60,51,407",7
Coraï¿½ï¿½ï¿½ï¿½o,"Patroas, EP1",Marï¿½ï¿½lia Mendo,7/10/2020,"7,19,15,713",5
Vultures,Vultures,ýý$,11/22/2023,"4,58,16,040",8
MY HOUSE,MY HOUSE,Beyoncï¿,12/1/2023,"4,52,38,166",7
The Thin Grey Line,The Thin Grey Line,$uicideboy$,5/24/2024,"1,32,89,346",15
Alo,Alo,corwinn,5/25/2024,"2,99,38,396",3
Fear Of Heights,For All The Dogs,Drake,10/6/2023,"6,58,70,686",13
Desde Mis Ojos - Remix,Desde Mis Ojos (Remix),Chris Lebron,5/5/2022,"12,86,69,257",17
Prayer in C - Robin Schulz Radio Edit,Los Nï¿½ï¿½meros 1 De 40 (El Disco De Los ï¿½ï,Lilly Wood and The Prick,1/1/2014,"1,07,45,83,619",29
Bam Lagatar,Bam Lagatar,Khushi Kakkar,5/6/2024,"41,745",10
Who Is Your Guy? - Remix,Who Is Your Guy? (Remix),Spyro,3/3/2023,"2,11,34,265",17
Rover,Rover - The 3rd Mini Album - EP,KAI,3/13/2023,"14,40,26,886",5
From The Start,Bewitched,Laufey,9/8/2023,"36,71,51,355",12
Slimed In,WE DON'T TRUST YOU,Future,3/22/2024,"2,87,67,834",8
Gentleman,Clubland 23,PSY,1/1/2013,"11,96,66,188",9
SUGAR,Big Swag,BROCKHAMPTON,6/22/2019,"50,78,42,421",5
Everybody Talks,Everybody Talks,Neon Trees,12/19/2011,"83,62,67,192",14
OKLOSER,OKLOSER,Doja Cat,4/1/2024,"2,08,14,043",7
Pump It Up,Pump It Up,Endor,9/13/2019,"35,22,68,839",8
Standing Room Only,Standing Room Only,Tim McGraw,3/10/2023,"3,17,05,548",16
ýýýýýý,ýýýýýýýýý - EP,WINE,12/19/2022,"2,76,193",0
Back To Back (feat. Future),Back To Back (feat. Future),Nardo Wick,4/26/2024,"76,15,489",20
Shotta Flow,Shotta Flow,NLE Choppa,1/17/2019,"25,76,46,451",10
Baddest,Baddest,Yung Bleu,6/11/2021,"5,85,39,080",7
Cigarettes,Fighting Demons (Extended Edition),Juice WRLD,12/10/2021,"23,35,82,276",10
bad,0.1 flaws and all.,wave to earth,4/20/2023,"14,02,28,805",3
ISABELLE,ISABELLE,Sefo,6/8/2022,"9,08,38,757",8
Cure For Me,Cure For Me,AURORA,7/7/2021,"16,41,25,901",9
Tï¿½ï¿½ï¿½n,Tï¿½ï¿½ï¿½ng Quen - ,Wren Evans,10/25/2023,"3,55,49,029",2
Pistoleta,Pistoleta,Olexesh,4/11/2024,"2,46,52,626",9
LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,4/14/2017,"66,97,03,929",18
Deep in the Water,Deep in the Water,Don Toliver,3/14/2024,"2,37,98,578",14
Endless Fashion (feat. Nicki Minaj),Endless Fashion (feat. Nicki Minaj),Lil Uzi Vert,6/21/2023,"6,85,98,656",28
A Mimir En El Chat,A Mimir En El Chat,Dejavu FF,4/16/2024,"2,88,153",14
Temporary pyar,Temporary pyar,Kaka,9/4/2021,"3,82,64,355",13
AA,AA,Walker Hayes,11/19/2021,"8,08,99,019",2
Phir Bhi Tumko Chaahunga,Half Girlfriend,Mithoon,4/30/2017,"8,27,58,005",21
Passinho Debochado,Passinho Debochado,Dan Ventura,7/30/2021,"6,82,73,832",17
Go Hard,Go Hard - Single,Lil Baby,4/28/2023,"7,06,01,620",6
La La La (Brazil 2014),Shakira. (Deluxe Version),Shakira,3/14/2014,"12,55,60,682",16
i'm yours sped up,i'm yours,Isabel LaRosa,10/28/2022,"22,33,41,848",13
Ruaan (From "Tiger 3"),Ruaan (From "Tiger 3"),Pritam,11/6/2023,"2,58,20,250",15
Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes,8/20/2021,"39,27,30,501",28
God of Music,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',SEVENTEEN,10/23/2023,"6,45,30,857",10
ýýýH+3+ýýýýýýý7luCJIo0T6...,ýýýH+3+ýýýýýýý7luCJIo0T6...,vyrval,2/7/2024,"2,74,80,893",12
Embarrassed (feat. Travis Scott),Embarrassed (feat. Travis Scott),Don Toliver,2/23/2023,"9,62,88,883",26
Carrying Your Love,Carrying Your Love,David Morris,6/1/2022,"3,32,78,200",16
Dueles,Un besito mï¿½,Jesse & Joy,12/4/2015,"56,34,67,499",6
Tipo Hollywood,Tipo Holywood,Mc Ws da leste,9/19/2023,"10,05,30,093",13
Oye,Oye,LuckReaper,5/15/2024,"4,71,51,307",3
She Don't Give a Fo,"Trapgentina, Vol. 1",Duki,12/7/2017,"50,05,65,437",14
085 - Ao Vivo,Pode Crï¿½ï¿½ (Ao V,MC Rogerinho,1/12/2023,"12,60,63,862",9
MODELITO,PARAISO,Mora,11/3/2022,"21,62,98,810",8
Los animales en el autobï¿½,La ronda de Lulita,Luli Pampï¿½,7/22/2022,"1,08,439",20
Would You (go to bed with me?),Would You (go to bed with me?),Campbell,7/21/2023,"7,38,21,370",21
Easy,The Plan,DaniLeigh,11/30/2018,"4,18,08,541",4
ýýýýýýýýýý ýýýý ýýýýýýýýýýýý ýýýýýýýýýýýýýý,ýýýýýýýýýý ýýýý ýýýýýýýýýýýý ýýýýýýýýýýýýýý,Eslam Kabonga,6/16/2023,"1,36,08,243",0
UNTOUCHABLE,BORN TO BE,ITZY,1/8/2024,"4,19,04,754",11
Dj Terompet Pemersatu Bangsa,Dj Terompet Pemersatu Bangsa,PAMOKHOL ID,10/19/2022,"23,47,433",25
YOSEMITE,ASTROWORLD,Travis Scott,8/3/2018,"64,67,44,185",8
Demasiadas Mujeres,Demasiadas Mujeres,C. Tangana,10/8/2020,"41,71,68,757",17
T-Shirt,T-Shirt,Migos,1/13/2017,"47,65,46,062",6
Pretty Savage,THE ALBUM,BLACKPINK,10/2/2020,"43,58,23,355",12
Mann Bharryaa 2.0 (From "Shershaah"),Mann Bharryaa 2.0 (From "Shershaah"),B Praak,8/15/2021,"14,93,51,877",27
Feel So Close - Radio Edit,Dance Hitlist 2012.1,Calvin Harris,1/1/2011,"99,13,82,346",20
Got What I Got,From the album '9',Jason Aldean,10/11/2019,"18,44,88,165",11
Instant Crush (feat. Julian Casablancas),Random Access Memories,Daft Punk,5/17/2013,"58,70,54,803",33
Young,Vibes,Vacations,12/9/2016,"59,75,91,280",5
"Genius (feat. Sia, Diplo, and Labrinth)",Genius,Sia,5/3/2018,"56,36,80,273",29
ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý,Ado,10/23/2020,"18,90,58,129",0
Holy Ghost,Holy Ghost,Omah Lay,11/9/2023,"6,13,90,970",9
red sky,american dream,21 Savage,1/12/2024,"3,84,45,811",6
Puntos Suspensivos,Ubuntu,Piso 21,5/11/2018,"40,53,31,822",17
Taboo,Meet the Orphans (Deluxe Edition),Don Omar,1/1/2010,"21,09,04,340",5
MALA SANTA,MALA SANTA,Becky G,10/11/2019,"18,99,69,086",9
She Make It Clap,She Make It Clap,Soulja Boy,3/12/2021,"8,78,13,373",13
Who I Am,Who I Am,Alan Walker,1/4/2024,"3,64,74,848",6
Nature Sounds with Music: Inspiring Thunder and Rain with Relaxing Music,Nature Sounds with Music: Inspiring Thunder and Rain with Relaxing Music,Jamie Llewellyn,12/27/2013,"2,40,712",61
counting stars (speed up) - Remix,counting stars (speed up) [Remix],Muppet DJ,1/18/2023,,25
Illegal Weapon 2.0 (From "Street Dancer 3D"),Illegal Weapon 2.0 (From "Street Dancer 3D"),Jasmine Sandlas,1/4/2020,"17,31,93,166",33
ýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýý - Single,ýýýýýýýýýýýýýýýýýýýýýýýý,12/29/2023,"32,25,791",0
Nobody Like U - From "Turning Red",Nobody Like U (From "Turning Red"),4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turnin,2/25/2022,"14,82,62,734",25
